169;Urząd Skarbowy Warszawa-Bielany;Warszawa;01-844;Skalbmierska 5;39101010100166102221000000;86101010100166102222000000;36101010100166102223000000;30101010100166102227000000
170;Urząd Skarbowy Warszawa-Mokotów;Warszawa;02-676;Postępu 16A;03101010100165482221000000;50101010100165482222000000;97101010100165482223000000;91101010100165482227000000
171;Urząd Skarbowy Warszawa-Praga;Warszawa;03-719;Jagiellońska 15;78101010100165642221000000;28101010100165642222000000;75101010100165642223000000;69101010100165642227000000
172;Pierwszy Urząd Skarbowy Warszawa-Śródmieście;Warszawa;02-013;Williama Lindleya 14;56101010100165802221000000;06101010100165802222000000;53101010100165802223000000;47101010100165802227000000
173;Drugi Urząd Skarbowy Warszawa-Śródmieście;Warszawa;03-719;Jagiellońska 15;;73101010100165932222000000;;17101010100165932227000000
174;Trzeci Urząd Skarbowy Warszawa-Śródmieście;Warszawa;02-013;Williama Lindleya 14;09101010100166232221000000;56101010100166232222000000;06101010100166232223000000;97101010100166232227000000
175;Urząd Skarbowy Warszawa-Targówek;Warszawa;03-482;Dąbrowszczaków 14;48101010100165772221000000;95101010100165772222000000;45101010100165772223000000;39101010100165772227000000
176;Urząd Skarbowy Warszawa-Ursynów;Warszawa;02-677;Wynalazek 3;85101010100165062221000000;35101010100165062222000000;82101010100165062223000000;76101010100165062227000000
177;Urząd Skarbowy Warszawa-Wawer;Warszawa;04-379;Ludwika Mycielskiego 21;76101010100166362221000000;26101010100166362222000000;73101010100166362223000000;67101010100166362227000000
178;Urząd Skarbowy Warszawa-Wola;Warszawa;01-381;Powstańców Śląskich 2D;31101010100166072221000000;78101010100166072222000000;28101010100166072223000000;22101010100166072227000000
179;Urząd Skarbowy;Węgrów;07-100;Kościelna 4;97101010100273262221000000;47101010100273262222000000;94101010100273262223000000;88101010100273262227000000
